Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2018,Gross enrollment ratio - Tertiary (male),32.1847,Estimate.,United Nations Educational
15,Northern Africa,2018,Gross enrollment ratio - Tertiary (female),37.6613,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2005,Students enrolled in primary education (thousands),113379.775,,United Nations Educational
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (male),100.7582,,United Nations Educational
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (female),88.8994,,United Nations Educational
202,Sub-Saharan Africa,2005,Students enrolled in secondary education (thousands),32059.4113,,United Nations Educational
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Secondary (male),35.7097,,United Nations Educational
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Secondary (female),27.9346,,United Nations Educational
202,Sub-Saharan Africa,2005,Students enrolled in tertiary education (thousands),4091.1147,,United Nations Educational
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Tertiary (male),7.1337,,United Nations Educational
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Tertiary (female),4.7517,,United Nations Educational
202,Sub-Saharan Africa,2010,Students enrolled in primary education (thousands),135893.8864,,United Nations Educational
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (male),102.153,,United Nations Educational
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (female),94.5502,,United Nations Educational
202,Sub-Saharan Africa,2010,Students enrolled in secondary education (thousands),44913.147,,United Nations Educational
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Secondary (male),43.4882,,United Nations Educational
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Secondary (female),35.6553,,United Nations Educational
202,Sub-Saharan Africa,2010,Students enrolled in tertiary education (thousands),5883.972,,United Nations Educational
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Tertiary (male),9.0161,,United Nations Educational
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Tertiary (female),6.0684,,United Nations Educational
202,Sub-Saharan Africa,2014,Students enrolled in primary education (thousands),154953.7381,,United Nations Educational
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Primary (male),102.9735,,United Nations Educational
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Primary (female),97.9228,,United Nations Educational
202,Sub-Saharan Africa,2014,Students enrolled in secondary education (thousands),54670.3173,,United Nations Educational
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Secondary (male),46.5018,,United Nations Educational
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Secondary (female),40.0079,,United Nations Educational
202,Sub-Saharan Africa,2014,Students enrolled in tertiary education (thousands),7507.8388,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Tertiary (male),10.2468,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Tertiary (female),7.1574,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2015,Students enrolled in primary education (thousands),156719.0183,,United Nations Educational
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (male),101.0382,,United Nations Educational
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (female),96.7695,,United Nations Educational
202,Sub-Saharan Africa,2015,Students enrolled in secondary education (thousands),56880.1114,,United Nations Educational
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Secondary (male),46.9239,,United Nations Educational
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Secondary (female),40.5197,,United Nations Educational
202,Sub-Saharan Africa,2015,Students enrolled in tertiary education (thousands),7722.9655,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Tertiary (male),10.3086,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Tertiary (female),7.361,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Students enrolled in primary education (thousands),168645.4391,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Gross enrollment ratio - Primary (male),100.702,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Gross enrollment ratio - Primary (female),96.4883,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Students enrolled in secondary education (thousands),61217.8086,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Gross enrollment ratio - Secondary (male),46.0384,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Gross enrollment ratio - Secondary (female),40.5277,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Students enrolled in tertiary education (thousands),8149.0822,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Gross enrollment ratio - Tertiary (male),10.4501,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Gross enrollment ratio - Tertiary (female),7.6874,Estimate.,United Nations Educational
21,Northern America,2005,Students enrolled in primary education (thousands),26759.2695,,United Nations Educational
21,Northern America,2005,Gross enrollment ratio - Primary (male),101.9909,,United Nations Educational
21,Northern America,2005,Gross enrollment ratio - Primary (female),100.915,,United Nations Educational
21,Northern America,2005,Students enrolled in secondary education (thousands),27033.2121,,United Nations Educational
21,Northern America,2005,Gross enrollment ratio - Secondary (male),94.9505,,United Nations Educational
21,Northern America,2005,Gross enrollment ratio - Secondary (female),96.3345,,United Nations Educational
21,Northern America,2005,Students enrolled in tertiary education (thousands),18244.8834,,United Nations Educational
21,Northern America,2005,Gross enrollment ratio - Tertiary (male),65.581,,United Nations Educational
21,Northern America,2005,Gross enrollment ratio - Tertiary (female),92.9434,,United Nations Educational
21,Northern America,2010,Students enrolled in primary education (thousands),26565.497,,United Nations Educational
21,Northern America,2010,Gross enrollment ratio - Primary (male),100.6236,,United Nations Educational
21,Northern America,2010,Gross enrollment ratio - Primary (female),99.7427,,United Nations Educational
21,Northern America,2010,Students enrolled in secondary education (thousands),26808.823,,United Nations Educational
21,Northern America,2010,Gross enrollment ratio - Secondary (male),95.1493,,United Nations Educational
21,Northern America,2010,Gross enrollment ratio - Secondary (female),95.928,,United Nations Educational
21,Northern America,2010,Students enrolled in tertiary education (thousands),21859.147,,United Nations Educational
21,Northern America,2010,Gross enrollment ratio - Tertiary (male),75.2445,,United Nations Educational
21,Northern America,2010,Gross enrollment ratio - Tertiary (female),104.7904,,United Nations Educational
21,Northern America,2014,Students enrolled in primary education (thousands),26791.635,,United Nations Educational
21,Northern America,2014,Gross enrollment ratio - Primary (male),99.9297,,United Nations Educational
21,Northern America,2014,Gross enrollment ratio - Primary (female),99.7195,,United Nations Educational
21,Northern America,2014,Students enrolled in secondary education (thousands),26894.959,,United Nations Educational
21,Northern America,2014,Gross enrollment ratio - Secondary (male),97.4866,,United Nations Educational
21,Northern America,2014,Gross enrollment ratio - Secondary (female),98.5818,,United Nations Educational
21,Northern America,2014,Students enrolled in tertiary education (thousands),21279.095,,United Nations Educational
21,Northern America,2014,Gross enrollment ratio - Tertiary (male),73.5407,,United Nations Educational
21,Northern America,2014,Gross enrollment ratio - Tertiary (female),99.9071,,United Nations Educational
21,Northern America,2015,Students enrolled in primary education (thousands),27093.808,,United Nations Educational
21,Northern America,2015,Gross enrollment ratio - Primary (male),100.4608,,United Nations Educational
21,Northern America,2015,Gross enrollment ratio - Primary (female),100.5046,,United Nations Educational
21,Northern America,2015,Students enrolled in secondary education (thousands),27062.901,,United Nations Educational
21,Northern America,2015,Gross enrollment ratio - Secondary (male),98.2685,,United Nations Educational
21,Northern America,2015,Gross enrollment ratio - Secondary (female),99.2706,,United Nations Educational
21,Northern America,2015,Students enrolled in tertiary education (thousands),21096.825,,United Nations Educational
21,Northern America,2015,Gross enrollment ratio - Tertiary (male),73.7542,,United Nations Educational
21,Northern America,2015,Gross enrollment ratio - Tertiary (female),99.9286,,United Nations Educational
21,Northern America,2018,Students enrolled in primary education (thousands),28054.2125,Estimate.,United Nations Educational
21,Northern America,2018,Gross enrollment ratio - Primary (male),101.9865,Estimate.,United Nations Educational
21,Northern America,2018,Gross enrollment ratio - Primary (female),101.4942,Estimate.,United Nations Educational
21,Northern America,2018,Students enrolled in secondary education (thousands),27614.5563,Estimate.,United Nations Educational
21,Northern America,2018,Gross enrollment ratio - Secondary (male),100.3729,Estimate.,United Nations Educational
21,Northern America,2018,Gross enrollment ratio - Secondary (female),100.0157,Estimate.,United Nations Educational
21,Northern America,2018,Students enrolled in tertiary education (thousands),20640.8212,Estimate.,United Nations Educational
21,Northern America,2018,Gross enrollment ratio - Tertiary (male),73.4171,Estimate.,United Nations Educational
21,Northern America,2018,Gross enrollment ratio - Tertiary (female),99.7608,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2005,Students enrolled in primary education (thousands),69078.4013,,United Nations Educational
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Primary (male),117.7579,,United Nations Educational
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Primary (female),114.2829,,United Nations Educational
419,Latin America & the Caribbean,2005,Students enrolled in secondary education (thousands),58894.2231,,United Nations Educational
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Secondary (male),83.7672,,United Nations Educational
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Secondary (female),89.919,,United Nations Educational
419,Latin America & the Caribbean,2005,Students enrolled in tertiary education (thousands),16091.2424,,United Nations Educational
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Tertiary (male),28.1294,,United Nations Educational
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Tertiary (female),34.013,,United Nations Educational
419,Latin America & the Caribbean,2010,Students enrolled in primary education (thousands),67216.093,,United Nations Educational
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Primary (male),116.6578,,United Nations Educational
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Primary (female),113.0508,,United Nations Educational
419,Latin America & the Caribbean,2010,Students enrolled in secondary education (thousands),61227.4647,,United Nations Educational
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Secondary (male),85.832,,United Nations Educational
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Secondary (female),92.866,,United Nations Educational
419,Latin America & the Caribbean,2010,Students enrolled in tertiary education (thousands),22073.6115,,United Nations Educational
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Tertiary (male),36.083,,United Nations Educational
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Tertiary (female),46.5475,,United Nations Educational
419,Latin America & the Caribbean,2014,Students enrolled in primary education (thousands),65386.8055,,United Nations Educational
419,Latin America & the Caribbean,2014,Gross enrollment ratio - Primary (male),111.1306,,United Nations Educational
419,Latin America & the Caribbean,2014,Gross enrollment ratio - Primary (female),108.6921,,United Nations Educational
419,Latin America & the Caribbean,2014,Students enrolled in secondary education (thousands),64261.254,,United Nations Educational
419,Latin America & the Caribbean,2014,Gross enrollment ratio - Secondary (male),91.1511,,United Nations Educational
419,Latin America & the Caribbean,2014,Gross enrollment ratio - Secondary (female),97.0713,,United Nations Educational
419,Latin America & the Caribbean,2014,Students enrolled in tertiary education (thousands),25528.8876,,United Nations Educational
419,Latin America & the Caribbean,2014,Gross enrollment ratio - Tertiary (male),41.5731,,United Nations Educational
419,Latin America & the Caribbean,2014,Gross enrollment ratio - Tertiary (female),53.9114,,United Nations Educational
419,Latin America & the Caribbean,2015,Students enrolled in primary education (thousands),64614.7209,,United Nations Educational
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Primary (male),110.0817,,United Nations Educational
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Primary (female),107.8503,,United Nations Educational
419,Latin America & the Caribbean,2015,Students enrolled in secondary education (thousands),64041.7039,,United Nations Educational
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Secondary (male),92.0075,,United Nations Educational
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Secondary (female),97.0688,,United Nations Educational
419,Latin America & the Caribbean,2015,Students enrolled in tertiary education (thousands),26222.9054,,United Nations Educational
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Tertiary (male),42.6907,,United Nations Educational
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Tertiary (female),55.1902,,United Nations Educational
419,Latin America & the Caribbean,2018,Students enrolled in primary education (thousands),64479.0033,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Gross enrollment ratio - Primary (male),110.3156,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Gross enrollment ratio - Primary (female),108.1623,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Students enrolled in secondary education (thousands),63616.9118,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Gross enrollment ratio - Secondary (male),94.0361,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Gross enrollment ratio - Secondary (female),97.9306,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Students enrolled in tertiary education (thousands),27966.4485,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Gross enrollment ratio - Tertiary (male),45.06,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Gross enrollment ratio - Tertiary (female),58.6175,Estimate.,United Nations Educational
30,Eastern Asia,2005,Students enrolled in primary education (thousands),126354.7561,Estimate.,United Nations Educational
30,Eastern Asia,2005,Gross enrollment ratio - Primary (male),103.4445,Estimate.,United Nations Educational
30,Eastern Asia,2005,Gross enrollment ratio - Primary (female),103.1627,Estimate.,United Nations Educational
30,Eastern Asia,2005,Students enrolled in secondary education (thousands),115222.1782,Estimate.,United Nations Educational
30,Eastern Asia,2005,Gross enrollment ratio - Secondary (male),70.4568,Estimate.,United Nations Educational
30,Eastern Asia,2005,Gross enrollment ratio - Secondary (female),69.1613,Estimate.,United Nations Educational
30,Eastern Asia,2005,Students enrolled in tertiary education (thousands),28737.2895,,United Nations Educational
30,Eastern Asia,2005,Gross enrollment ratio - Tertiary (male),25.3612,,United Nations Educational
30,Eastern Asia,2005,Gross enrollment ratio - Tertiary (female),21.8182,,United Nations Educational
30,Eastern Asia,2010,Students enrolled in primary education (thousands),113597.0893,,United Nations Educational
30,Eastern Asia,2010,Gross enrollment ratio - Primary (male),99.9539,,United Nations Educational
30,Eastern Asia,2010,Gross enrollment ratio - Primary (female),98.4497,,United Nations Educational
30,Eastern Asia,2010,Students enrolled in secondary education (thousands),113530.4127,,United Nations Educational
30,Eastern Asia,2010,Gross enrollment ratio - Secondary (male),89.313,,United Nations Educational
30,Eastern Asia,2010,Gross enrollment ratio - Secondary (female),89.1436,,United Nations Educational
30,Eastern Asia,2010,Students enrolled in tertiary education (thousands),39209.0747,,United Nations Educational
30,Eastern Asia,2010,Gross enrollment ratio - Tertiary (male),27.8057,,United Nations Educational
30,Eastern Asia,2010,Gross enrollment ratio - Tertiary (female),27.8759,,United Nations Educational
30,Eastern Asia,2014,Students enrolled in primary education (thousands),106550.4046,,United Nations Educational
30,Eastern Asia,2014,Gross enrollment ratio - Primary (male),96.083,,United Nations Educational
30,Eastern Asia,2014,Gross enrollment ratio - Primary (female),96.1877,,United Nations Educational
30,Eastern Asia,2014,Students enrolled in secondary education (thousands),102397.8856,,United Nations Educational
30,Eastern Asia,2014,Gross enrollment ratio - Secondary (male),85.7484,,United Nations Educational
30,Eastern Asia,2014,Gross enrollment ratio - Secondary (female),87.4116,,United Nations Educational
30,Eastern Asia,2014,Students enrolled in tertiary education (thousands),50193.8674,,United Nations Educational
30,Eastern Asia,2014,Gross enrollment ratio - Tertiary (male),43.0442,,United Nations Educational
30,Eastern Asia,2014,Gross enrollment ratio - Tertiary (female),47.4405,,United Nations Educational
30,Eastern Asia,2015,Students enrolled in primary education (thousands),107283.57,,United Nations Educational
30,Eastern Asia,2015,Gross enrollment ratio - Primary (male),96.4411,,United Nations Educational
30,Eastern Asia,2015,Gross enrollment ratio - Primary (female),96.6893,,United Nations Educational
30,Eastern Asia,2015,Students enrolled in secondary education (thousands),99600.5558,,United Nations Educational
30,Eastern Asia,2015,Gross enrollment ratio - Secondary (male),84.643,,United Nations Educational
30,Eastern Asia,2015,Gross enrollment ratio - Secondary (female),86.513,,United Nations Educational
30,Eastern Asia,2015,Students enrolled in tertiary education (thousands),51555.1917,,United Nations Educational
30,Eastern Asia,2015,Gross enrollment ratio - Tertiary (male),45.6884,,United Nations Educational
30,Eastern Asia,2015,Gross enrollment ratio - Tertiary (female),51.4554,,United Nations Educational
30,Eastern Asia,2018,Students enrolled in primary education (thousands),113812.4764,,United Nations Educational
30,Eastern Asia,2018,Gross enrollment ratio - Primary (male),100.1737,,United Nations Educational
30,Eastern Asia,2018,Gross enrollment ratio - Primary (female),101.2546,,United Nations Educational
30,Eastern Asia,2018,Students enrolled in secondary education (thousands),96044.917,,United Nations Educational
30,Eastern Asia,2018,Gross enrollment ratio - Secondary (male),84.8318,,United Nations Educational
30,Eastern Asia,2018,Gross enrollment ratio - Secondary (female),86.322,,United Nations Educational
30,Eastern Asia,2018,Students enrolled in tertiary education (thousands),51771.6648,,United Nations Educational
30,Eastern Asia,2018,Gross enrollment ratio - Tertiary (male),47.7594,,United Nations Educational
30,Eastern Asia,2018,Gross enrollment ratio - Tertiary (female),55.4312,,United Nations Educational
35,South-eastern Asia,2005,Students enrolled in primary education (thousands),68253.2302,,United Nations Educational
35,South-eastern Asia,2005,Gross enrollment ratio - Primary (male),106.8339,,United Nations Educational
35,South-eastern Asia,2005,Gross enrollment ratio - Primary (female),103.8287,,United Nations Educational
35,South-eastern Asia,2005,Students enrolled in secondary education (thousands),40815.1519,,United Nations Educational
35,South-eastern Asia,2005,Gross enrollment ratio - Secondary (male),62.563,,United Nations Educational
35,South-eastern Asia,2005,Gross enrollment ratio - Secondary (female),62.3813,,United Nations Educational
35,South-eastern Asia,2005,Students enrolled in tertiary education (thousands),11321.3728,,United Nations Educational
35,South-eastern Asia,2005,Gross enrollment ratio - Tertiary (male),21.0451,Estimate.,United Nations Educational
35,South-eastern Asia,2005,Gross enrollment ratio - Tertiary (female),21.0441,Estimate.,United Nations Educational
35,South-eastern Asia,2010,Students enrolled in primary education (thousands),68327.4383,,United Nations Educational
35,South-eastern Asia,2010,Gross enrollment ratio - Primary (male),106.7647,,United Nations Educational
35,South-eastern Asia,2010,Gross enrollment ratio - Primary (female),107.0813,,United Nations Educational
35,South-eastern Asia,2010,Students enrolled in secondary education (thousands),45537.6522,,United Nations Educational
35,South-eastern Asia,2010,Gross enrollment ratio - Secondary (male),70.5239,,United Nations Educational
35,South-eastern Asia,2010,Gross enrollment ratio - Secondary (female),71.3159,,United Nations Educational
35,South-eastern Asia,2010,Students enrolled in tertiary education (thousands),14474.9357,,United Nations Educational
35,South-eastern Asia,2010,Gross enrollment ratio - Tertiary (male),25.9531,,United Nations Educational
35,South-eastern Asia,2010,Gross enrollment ratio - Tertiary (female),27.701,,United Nations Educational
35,South-eastern Asia,2014,Students enrolled in primary education (thousands),68843.0811,,United Nations Educational
35,South-eastern Asia,2014,Gross enrollment ratio - Primary (male),108.6516,,United Nations Educational
35,South-eastern Asia,2014,Gross enrollment ratio - Primary (female),106.6333,,United Nations Educational
35,South-eastern Asia,2014,Students enrolled in secondary education (thousands),50073.8422,,United Nations Educational
35,South-eastern Asia,2014,Gross enrollment ratio - Secondary (male),78.3278,,United Nations Educational
35,South-eastern Asia,2014,Gross enrollment ratio - Secondary (female),78.9845,,United Nations Educational
35,South-eastern Asia,2014,Students enrolled in tertiary education (thousands),17671.0085,,United Nations Educational
35,South-eastern Asia,2014,Gross enrollment ratio - Tertiary (male),29.4483,,United Nations Educational
35,South-eastern Asia,2014,Gross enrollment ratio - Tertiary (female),34.7723,,United Nations Educational
35,South-eastern Asia,2015,Students enrolled in primary education (thousands),68712.9767,,United Nations Educational
35,South-eastern Asia,2015,Gross enrollment ratio - Primary (male),108.8842,,United Nations Educational
35,South-eastern Asia,2015,Gross enrollment ratio - Primary (female),106.1296,,United Nations Educational
35,South-eastern Asia,2015,Students enrolled in secondary education (thousands),51400.5429,,United Nations Educational
35,South-eastern Asia,2015,Gross enrollment ratio - Secondary (male),80.6859,,United Nations Educational
35,South-eastern Asia,2015,Gross enrollment ratio - Secondary (female),80.9456,,United Nations Educational
35,South-eastern Asia,2015,Students enrolled in tertiary education (thousands),18157.5537,,United Nations Educational
35,South-eastern Asia,2015,Gross enrollment ratio - Tertiary (male),30.3215,,United Nations Educational
35,South-eastern Asia,2015,Gross enrollment ratio - Tertiary (female),35.6742,,United Nations Educational
35,South-eastern Asia,2018,Students enrolled in primary education (thousands),68369.0671,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Gross enrollment ratio - Primary (male),108.2406,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Gross enrollment ratio - Primary (female),105.586,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Students enrolled in secondary education (thousands),55713.5851,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Gross enrollment ratio - Secondary (male),81.4152,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Gross enrollment ratio - Secondary (female),83.5083,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Students enrolled in tertiary education (thousands),18686.1659,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Gross enrollment ratio - Tertiary (male),30.6147,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Gross enrollment ratio - Tertiary (female),37.7599,Estimate.,United Nations Educational
34,Southern Asia,2005,Students enrolled in primary education (thousands),181480.9186,Estimate.,United Nations Educational
34,Southern Asia,2005,Gross enrollment ratio - Primary (male),104.7583,Estimate.,United Nations Educational
34,Southern Asia,2005,Gross enrollment ratio - Primary (female),100.1279,Estimate.,United Nations Educational
34,Southern Asia,2005,Students enrolled in secondary education (thousands),120737.7349,,United Nations Educational
34,Southern Asia,2005,Gross enrollment ratio - Secondary (male),54.8075,,United Nations Educational
34,Southern Asia,2005,Gross enrollment ratio - Secondary (female),47.0433,,United Nations Educational
34,Southern Asia,2005,Students enrolled in tertiary education (thousands),16055.1581,,United Nations Educational
34,Southern Asia,2005,Gross enrollment ratio - Tertiary (male),11.6777,,United Nations Educational
34,Southern Asia,2005,Gross enrollment ratio - Tertiary (female),8.7975,,United Nations Educational
34,Southern Asia,2010,Students enrolled in primary education (thousands),191840.193,,United Nations Educational
34,Southern Asia,2010,Gross enrollment ratio - Primary (male),105.8916,,United Nations Educational
34,Southern Asia,2010,Gross enrollment ratio - Primary (female),105.8495,,United Nations Educational
34,Southern Asia,2010,Students enrolled in secondary education (thousands),143371.2819,,United Nations Educational
34,Southern Asia,2010,Gross enrollment ratio - Secondary (male),61.1064,,United Nations Educational
34,Southern Asia,2010,Gross enrollment ratio - Secondary (female),57.0748,,United Nations Educational
34,Southern Asia,2010,Students enrolled in tertiary education (thousands),28467.3022,,United Nations Educational
34,Southern Asia,2010,Gross enrollment ratio - Tertiary (male),19.3484,,United Nations Educational
34,Southern Asia,2010,Gross enrollment ratio - Tertiary (female),14.9913,,United Nations Educational
34,Southern Asia,2014,Students enrolled in primary education (thousands),195228.4935,,United Nations Educational
34,Southern Asia,2014,Gross enrollment ratio - Primary (male),103.0908,,United Nations Educational
