Region/Country/Area,,Year,Series,Value,Footnotes,Source
21,Northern America,2005,Teachers at secondary level (thousands),1773.9823,,United Nations Educational
21,Northern America,2005,Pupil-teacher ratio in secondary education,15.2387,,United Nations Educational
21,Northern America,2005,Teachers at tertiary level (thousands),1385.5926,,United Nations Educational
21,Northern America,2010,Teachers at primary level (thousands),1919.9048,Estimate.,United Nations Educational
21,Northern America,2010,Pupil-teacher ratio in primary education,13.8369,,United Nations Educational
21,Northern America,2010,Teachers at secondary level (thousands),1898.02,,United Nations Educational
21,Northern America,2010,Pupil-teacher ratio in secondary education,14.1246,,United Nations Educational
21,Northern America,2010,Teachers at tertiary level (thousands),1646.2896,,United Nations Educational
21,Northern America,2015,Teachers at primary level (thousands),1847.1034,Estimate.,United Nations Educational
21,Northern America,2015,Pupil-teacher ratio in primary education,14.6683,,United Nations Educational
21,Northern America,2015,Teachers at secondary level (thousands),1802.5378,,United Nations Educational
21,Northern America,2015,Pupil-teacher ratio in secondary education,15.0138,,United Nations Educational
21,Northern America,2015,Teachers at tertiary level (thousands),1785.749,,United Nations Educational
21,Northern America,2018,Teachers at primary level (thousands),1944.8008,Estimate.,United Nations Educational
21,Northern America,2018,Pupil-teacher ratio in primary education,14.4252,Estimate.,United Nations Educational
21,Northern America,2018,Teachers at secondary level (thousands),1848.4095,Estimate.,United Nations Educational
21,Northern America,2018,Pupil-teacher ratio in secondary education,14.9396,Estimate.,United Nations Educational
21,Northern America,2018,Teachers at tertiary level (thousands),1758.667,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2005,Teachers at primary level (thousands),2935.8696,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in primary education,23.5291,,United Nations Educational
419,Latin America & the Caribbean,2005,Teachers at secondary level (thousands),3470.0666,,United Nations Educational
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in secondary education,16.9721,,United Nations Educational
419,Latin America & the Caribbean,2005,Teachers at tertiary level (thousands),1225.0668,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2010,Teachers at primary level (thousands),2914.7584,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in primary education,23.0606,,United Nations Educational
419,Latin America & the Caribbean,2010,Teachers at secondary level (thousands),3548.9687,,United Nations Educational
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in secondary education,17.2522,,United Nations Educational
419,Latin America & the Caribbean,2010,Teachers at tertiary level (thousands),1677.2443,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2015,Teachers at primary level (thousands),2974.754,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in primary education,21.721,,United Nations Educational
419,Latin America & the Caribbean,2015,Teachers at secondary level (thousands),3905.9132,,United Nations Educational
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in secondary education,16.3961,,United Nations Educational
419,Latin America & the Caribbean,2015,Teachers at tertiary level (thousands),1823.5894,,United Nations Educational
419,Latin America & the Caribbean,2018,Teachers at primary level (thousands),3026.9221,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Pupil-teacher ratio in primary education,21.3018,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Teachers at secondary level (thousands),3856.5396,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Pupil-teacher ratio in secondary education,16.4959,Estimate.,United Nations Educational
419,Latin America & the Caribbean,2018,Teachers at tertiary level (thousands),1901.2377,Estimate.,United Nations Educational
143,Central Asia,2005,Teachers at primary level (thousands),242.4217,Estimate.,United Nations Educational
143,Central Asia,2005,Pupil-teacher ratio in primary education,19.8413,,United Nations Educational
143,Central Asia,2005,Teachers at secondary level (thousands),793.0905,,United Nations Educational
143,Central Asia,2005,Pupil-teacher ratio in secondary education,11.4021,,United Nations Educational
143,Central Asia,2005,Teachers at tertiary level (thousands),102.0038,Estimate.,United Nations Educational
143,Central Asia,2010,Teachers at primary level (thousands),226.2535,Estimate.,United Nations Educational
143,Central Asia,2010,Pupil-teacher ratio in primary education,18.7913,,United Nations Educational
143,Central Asia,2010,Teachers at secondary level (thousands),747.3417,,United Nations Educational
143,Central Asia,2010,Pupil-teacher ratio in secondary education,11.5133,,United Nations Educational
143,Central Asia,2010,Teachers at tertiary level (thousands),113.1154,,United Nations Educational
143,Central Asia,2015,Teachers at primary level (thousands),253.0115,Estimate.,United Nations Educational
143,Central Asia,2015,Pupil-teacher ratio in primary education,19.0754,,United Nations Educational
143,Central Asia,2015,Teachers at secondary level (thousands),784.3816,,United Nations Educational
143,Central Asia,2015,Pupil-teacher ratio in secondary education,10.1676,,United Nations Educational
143,Central Asia,2015,Teachers at tertiary level (thousands),116.898,,United Nations Educational
143,Central Asia,2018,Teachers at primary level (thousands),264.354,Estimate.,United Nations Educational
143,Central Asia,2018,Pupil-teacher ratio in primary education,21.2621,,United Nations Educational
143,Central Asia,2018,Teachers at secondary level (thousands),834.8842,,United Nations Educational
143,Central Asia,2018,Pupil-teacher ratio in secondary education,9.431,Estimate.,United Nations Educational
143,Central Asia,2018,Teachers at tertiary level (thousands),107.052,,United Nations Educational
30,Eastern Asia,2005,Teachers at primary level (thousands),6683.2843,Estimate.,United Nations Educational
30,Eastern Asia,2005,Pupil-teacher ratio in primary education,18.9061,Estimate.,United Nations Educational
30,Eastern Asia,2005,Teachers at secondary level (thousands),6499.985,Estimate.,United Nations Educational
30,Eastern Asia,2005,Pupil-teacher ratio in secondary education,17.7265,Estimate.,United Nations Educational
30,Eastern Asia,2005,Teachers at tertiary level (thousands),2179.4517,,United Nations Educational
30,Eastern Asia,2010,Teachers at primary level (thousands),6658.6158,Estimate.,United Nations Educational
30,Eastern Asia,2010,Pupil-teacher ratio in primary education,17.0602,,United Nations Educational
30,Eastern Asia,2010,Teachers at secondary level (thousands),7435.1411,,United Nations Educational
30,Eastern Asia,2010,Pupil-teacher ratio in secondary education,15.2694,,United Nations Educational
30,Eastern Asia,2010,Teachers at tertiary level (thousands),2404.7963,,United Nations Educational
30,Eastern Asia,2012,Teachers at primary level (thousands),6581.2546,Estimate.,United Nations Educational
30,Eastern Asia,2012,Pupil-teacher ratio in primary education,16.9433,,United Nations Educational
30,Eastern Asia,2012,Teachers at secondary level (thousands),7593.8887,,United Nations Educational
30,Eastern Asia,2012,Pupil-teacher ratio in secondary education,14.3681,,United Nations Educational
30,Eastern Asia,2012,Teachers at tertiary level (thousands),2535.1291,Estimate.,United Nations Educational
30,Eastern Asia,2015,Teachers at primary level (thousands),6564.859,Estimate.,United Nations Educational
30,Eastern Asia,2015,Pupil-teacher ratio in primary education,16.3421,,United Nations Educational
30,Eastern Asia,2015,Teachers at secondary level (thousands),7280.889,,United Nations Educational
30,Eastern Asia,2015,Pupil-teacher ratio in secondary education,13.6797,,United Nations Educational
30,Eastern Asia,2018,Teachers at primary level (thousands),6930.1742,Estimate.,United Nations Educational
30,Eastern Asia,2018,Pupil-teacher ratio in primary education,16.4227,,United Nations Educational
30,Eastern Asia,2018,Teachers at secondary level (thousands),7302.0984,,United Nations Educational
30,Eastern Asia,2018,Pupil-teacher ratio in secondary education,13.1531,,United Nations Educational
62,South-central Asia,2005,Teachers at primary level (thousands),4825.8753,Estimate.,United Nations Educational
62,South-central Asia,2005,Pupil-teacher ratio in primary education,38.6025,Estimate.,United Nations Educational
62,South-central Asia,2005,Teachers at secondary level (thousands),4949.4896,Estimate.,United Nations Educational
62,South-central Asia,2005,Pupil-teacher ratio in secondary education,26.221,Estimate.,United Nations Educational
62,South-central Asia,2005,Teachers at tertiary level (thousands),843.2299,Estimate.,United Nations Educational
62,South-central Asia,2010,Teachers at primary level (thousands),5501.5609,Estimate.,United Nations Educational
62,South-central Asia,2010,Pupil-teacher ratio in primary education,35.6429,Estimate.,United Nations Educational
62,South-central Asia,2010,Teachers at secondary level (thousands),6446.4185,,United Nations Educational
62,South-central Asia,2010,Pupil-teacher ratio in secondary education,23.5752,,United Nations Educational
62,South-central Asia,2010,Teachers at tertiary level (thousands),1369.5435,Estimate.,United Nations Educational
62,South-central Asia,2015,Teachers at primary level (thousands),6308.0815,Estimate.,United Nations Educational
62,South-central Asia,2015,Pupil-teacher ratio in primary education,31.904,,United Nations Educational
62,South-central Asia,2015,Teachers at secondary level (thousands),6511.4951,,United Nations Educational
62,South-central Asia,2015,Pupil-teacher ratio in secondary education,27.407,,United Nations Educational
62,South-central Asia,2015,Teachers at tertiary level (thousands),1912.6338,,United Nations Educational
62,South-central Asia,2018,Teachers at primary level (thousands),6410.9471,Estimate.,United Nations Educational
62,South-central Asia,2018,Pupil-teacher ratio in primary education,32.5363,Estimate.,United Nations Educational
62,South-central Asia,2018,Teachers at secondary level (thousands),7330.2712,Estimate.,United Nations Educational
62,South-central Asia,2018,Pupil-teacher ratio in secondary education,24.8314,Estimate.,United Nations Educational
62,South-central Asia,2018,Teachers at tertiary level (thousands),1970.6242,,United Nations Educational
35,South-eastern Asia,2005,Teachers at primary level (thousands),2938.5634,Estimate.,United Nations Educational
35,South-eastern Asia,2005,Pupil-teacher ratio in primary education,23.2267,,United Nations Educational
35,South-eastern Asia,2005,Teachers at secondary level (thousands),2237.4519,,United Nations Educational
35,South-eastern Asia,2005,Pupil-teacher ratio in secondary education,18.2418,,United Nations Educational
35,South-eastern Asia,2005,Teachers at tertiary level (thousands),579.9737,,United Nations Educational
35,South-eastern Asia,2010,Teachers at primary level (thousands),3244.5245,Estimate.,United Nations Educational
35,South-eastern Asia,2010,Pupil-teacher ratio in primary education,21.0593,,United Nations Educational
35,South-eastern Asia,2010,Teachers at secondary level (thousands),2698.5372,Estimate.,United Nations Educational
35,South-eastern Asia,2010,Pupil-teacher ratio in secondary education,16.8749,Estimate.,United Nations Educational
35,South-eastern Asia,2010,Teachers at tertiary level (thousands),690.7835,Estimate.,United Nations Educational
35,South-eastern Asia,2015,Teachers at primary level (thousands),3709.9557,Estimate.,United Nations Educational
35,South-eastern Asia,2015,Pupil-teacher ratio in primary education,18.5212,Estimate.,United Nations Educational
35,South-eastern Asia,2015,Teachers at secondary level (thousands),2765.3996,Estimate.,United Nations Educational
35,South-eastern Asia,2015,Pupil-teacher ratio in secondary education,18.587,Estimate.,United Nations Educational
35,South-eastern Asia,2015,Teachers at tertiary level (thousands),721.5857,,United Nations Educational
35,South-eastern Asia,2018,Teachers at primary level (thousands),3500.0981,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Pupil-teacher ratio in primary education,19.5335,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Teachers at secondary level (thousands),3029.3104,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Pupil-teacher ratio in secondary education,18.3915,Estimate.,United Nations Educational
35,South-eastern Asia,2018,Teachers at tertiary level (thousands),778.4564,Estimate.,United Nations Educational
34,Southern Asia,2005,Teachers at primary level (thousands),4583.4536,Estimate.,United Nations Educational
34,Southern Asia,2005,Pupil-teacher ratio in primary education,39.5948,Estimate.,United Nations Educational
34,Southern Asia,2005,Teachers at secondary level (thousands),4156.3991,Estimate.,United Nations Educational
34,Southern Asia,2005,Pupil-teacher ratio in secondary education,29.0486,Estimate.,United Nations Educational
34,Southern Asia,2005,Teachers at tertiary level (thousands),741.2261,Estimate.,United Nations Educational
34,Southern Asia,2010,Teachers at primary level (thousands),5275.3075,Estimate.,United Nations Educational
34,Southern Asia,2010,Pupil-teacher ratio in primary education,36.3657,Estimate.,United Nations Educational
34,Southern Asia,2010,Teachers at secondary level (thousands),5699.0768,,United Nations Educational
34,Southern Asia,2010,Pupil-teacher ratio in secondary education,25.1569,,United Nations Educational
34,Southern Asia,2010,Teachers at tertiary level (thousands),1256.4281,Estimate.,United Nations Educational
34,Southern Asia,2015,Teachers at primary level (thousands),6055.07,Estimate.,United Nations Educational
34,Southern Asia,2015,Pupil-teacher ratio in primary education,32.44,,United Nations Educational
34,Southern Asia,2015,Teachers at secondary level (thousands),5727.1135,,United Nations Educational
34,Southern Asia,2015,Pupil-teacher ratio in secondary education,29.7681,,United Nations Educational
34,Southern Asia,2015,Teachers at tertiary level (thousands),1795.7358,,United Nations Educational
34,Southern Asia,2018,Teachers at primary level (thousands),6146.5931,Estimate.,United Nations Educational
34,Southern Asia,2018,Pupil-teacher ratio in primary education,33.0212,Estimate.,United Nations Educational
34,Southern Asia,2018,Teachers at secondary level (thousands),6495.387,Estimate.,United Nations Educational
34,Southern Asia,2018,Pupil-teacher ratio in secondary education,26.8109,Estimate.,United Nations Educational
34,Southern Asia,2018,Teachers at tertiary level (thousands),1863.5722,,United Nations Educational
145,Western Asia,2005,Teachers at primary level (thousands),1289.416,Estimate.,United Nations Educational
145,Western Asia,2005,Pupil-teacher ratio in primary education,18.7475,Estimate.,United Nations Educational
145,Western Asia,2005,Teachers at secondary level (thousands),1339.8519,Estimate.,United Nations Educational
145,Western Asia,2005,Pupil-teacher ratio in secondary education,14.7132,Estimate.,United Nations Educational
145,Western Asia,2005,Teachers at tertiary level (thousands),306.8147,,United Nations Educational
145,Western Asia,2010,Teachers at primary level (thousands),1443.7084,Estimate.,United Nations Educational
145,Western Asia,2010,Pupil-teacher ratio in primary education,17.5962,Estimate.,United Nations Educational
145,Western Asia,2010,Teachers at secondary level (thousands),1591.7539,Estimate.,United Nations Educational
145,Western Asia,2010,Pupil-teacher ratio in secondary education,14.07,Estimate.,United Nations Educational
145,Western Asia,2010,Teachers at tertiary level (thousands),372.5168,,United Nations Educational
145,Western Asia,2015,Teachers at primary level (thousands),1582.8054,Estimate.,United Nations Educational
145,Western Asia,2015,Pupil-teacher ratio in primary education,16.4792,Estimate.,United Nations Educational
145,Western Asia,2015,Teachers at secondary level (thousands),1787.7576,Estimate.,United Nations Educational
145,Western Asia,2015,Pupil-teacher ratio in secondary education,14.1081,Estimate.,United Nations Educational
145,Western Asia,2015,Teachers at tertiary level (thousands),483.07,,United Nations Educational
145,Western Asia,2018,Teachers at primary level (thousands),1508.6692,Estimate.,United Nations Educational
145,Western Asia,2018,Pupil-teacher ratio in primary education,17.1374,Estimate.,United Nations Educational
145,Western Asia,2018,Teachers at secondary level (thousands),1927.7726,Estimate.,United Nations Educational
145,Western Asia,2018,Pupil-teacher ratio in secondary education,13.6331,Estimate.,United Nations Educational
145,Western Asia,2018,Teachers at tertiary level (thousands),507.1552,Estimate.,United Nations Educational
150,Europe,2005,Teachers at primary level (thousands),2672.9975,Estimate.,United Nations Educational
150,Europe,2005,Pupil-teacher ratio in primary education,14.3908,,United Nations Educational
150,Europe,2005,Teachers at secondary level (thousands),5836.1337,,United Nations Educational
150,Europe,2005,Pupil-teacher ratio in secondary education,11.1842,,United Nations Educational
150,Europe,2005,Teachers at tertiary level (thousands),2275.1558,,United Nations Educational
150,Europe,2010,Teachers at primary level (thousands),2673.6457,Estimate.,United Nations Educational
150,Europe,2010,Pupil-teacher ratio in primary education,13.746,,United Nations Educational
150,Europe,2010,Teachers at secondary level (thousands),5470.6565,Estimate.,United Nations Educational
150,Europe,2010,Pupil-teacher ratio in secondary education,10.7181,Estimate.,United Nations Educational
150,Europe,2010,Teachers at tertiary level (thousands),2416.007,Estimate.,United Nations Educational
150,Europe,2015,Teachers at primary level (thousands),2732.4222,Estimate.,United Nations Educational
150,Europe,2015,Pupil-teacher ratio in primary education,14.0408,,United Nations Educational
150,Europe,2015,Teachers at secondary level (thousands),5328.8804,,United Nations Educational
150,Europe,2015,Pupil-teacher ratio in secondary education,10.784,,United Nations Educational
150,Europe,2015,Teachers at tertiary level (thousands),2379.6279,,United Nations Educational
150,Europe,2018,Teachers at primary level (thousands),2849.0262,Estimate.,United Nations Educational
150,Europe,2018,Pupil-teacher ratio in primary education,14.1221,Estimate.,United Nations Educational
150,Europe,2018,Teachers at secondary level (thousands),5433.9603,Estimate.,United Nations Educational
150,Europe,2018,Pupil-teacher ratio in secondary education,10.6917,Estimate.,United Nations Educational
150,Europe,2018,Teachers at tertiary level (thousands),2384.038,Estimate.,United Nations Educational
9,Oceania,2005,Teachers at primary level (thousands),158.7008,Estimate.,United Nations Educational
9,Oceania,2005,Pupil-teacher ratio in primary education,19.7957,Estimate.,United Nations Educational
9,Oceania,2010,Teachers at primary level (thousands),175.0013,Estimate.,United Nations Educational
9,Oceania,2010,Pupil-teacher ratio in primary education,20.3191,Estimate.,United Nations Educational
9,Oceania,2015,Teachers at primary level (thousands),194.7874,Estimate.,United Nations Educational
9,Oceania,2015,Pupil-teacher ratio in primary education,21.0515,Estimate.,United Nations Educational
9,Oceania,2017,Teachers at primary level (thousands),201.8536,Estimate.,United Nations Educational
9,Oceania,2017,Pupil-teacher ratio in primary education,21.0837,Estimate.,United Nations Educational
4,Afghanistan,2004,Teachers at tertiary level (thousands),1.781,,United Nations Educational
4,Afghanistan,2004,Pupil-teacher ratio in tertiary education,15.5239,,United Nations Educational
4,Afghanistan,2007,Teachers at primary level (thousands),110.312,,United Nations Educational
4,Afghanistan,2007,Pupil-teacher ratio in primary education,42.7703,,United Nations Educational
4,Afghanistan,2007,Teachers at secondary level (thousands),32.817,,United Nations Educational
4,Afghanistan,2007,Pupil-teacher ratio in secondary education,31.5624,,United Nations Educational
4,Afghanistan,2009,Teachers at primary level (thousands),115.454,,United Nations Educational
4,Afghanistan,2009,Pupil-teacher ratio in primary education,42.8364,,United Nations Educational
4,Afghanistan,2009,Teachers at tertiary level (thousands),3.342,,United Nations Educational
4,Afghanistan,2009,Pupil-teacher ratio in tertiary education,28.4815,,United Nations Educational
4,Afghanistan,2010,Teachers at primary level (thousands),118.858,,United Nations Educational
4,Afghanistan,2010,Pupil-teacher ratio in primary education,44.4171,,United Nations Educational
4,Afghanistan,2014,Teachers at tertiary level (thousands),11.002,,United Nations Educational
4,Afghanistan,2014,Pupil-teacher ratio in tertiary education,23.8933,,United Nations Educational
4,Afghanistan,2015,Teachers at primary level (thousands),142.88,,United Nations Educational
4,Afghanistan,2015,Pupil-teacher ratio in primary education,43.3884,,United Nations Educational
4,Afghanistan,2015,Teachers at secondary level (thousands),82.926,,United Nations Educational
4,Afghanistan,2015,Pupil-teacher ratio in secondary education,31.9738,,United Nations Educational
4,Afghanistan,2018,Teachers at primary level (thousands),134.145,,United Nations Educational
4,Afghanistan,2018,Pupil-teacher ratio in primary education,48.7898,,United Nations Educational
4,Afghanistan,2018,Teachers at secondary level (thousands),91.456,,United Nations Educational
4,Afghanistan,2018,Pupil-teacher ratio in secondary education,33.5012,,United Nations Educational
4,Afghanistan,2018,Teachers at tertiary level (thousands),17.215,,United Nations Educational
4,Afghanistan,2018,Pupil-teacher ratio in tertiary education,21.5283,,United Nations Educational
8,Albania,2001,Teachers at primary level (thousands),12.607,,United Nations Educational
8,Albania,2001,Pupil-teacher ratio in primary education,21.7524,,United Nations Educational
8,Albania,2001,Teachers at secondary level (thousands),22.28,,United Nations Educational
8,Albania,2001,Pupil-teacher ratio in secondary education,16.963,,United Nations Educational
8,Albania,2001,Teachers at tertiary level (thousands),3.03,,United Nations Educational
8,Albania,2001,Pupil-teacher ratio in tertiary education,13.4848,,United Nations Educational
8,Albania,2003,Teachers at primary level (thousands),11.762,,United Nations Educational
8,Albania,2003,Pupil-teacher ratio in primary education,21.4954,,United Nations Educational
8,Albania,2003,Teachers at secondary level (thousands),22.424,,United Nations Educational
8,Albania,2003,Pupil-teacher ratio in secondary education,17.6639,,United Nations Educational
8,Albania,2010,Teachers at primary level (thousands),11.409,,United Nations Educational
8,Albania,2010,Pupil-teacher ratio in primary education,19.7021,,United Nations Educational
8,Albania,2010,Teachers at secondary level (thousands),24.082,,United Nations Educational
8,Albania,2010,Pupil-teacher ratio in secondary education,14.7775,,United Nations Educational
8,Albania,2011,Teachers at primary level (thousands),10.854,,United Nations Educational
8,Albania,2011,Pupil-teacher ratio in primary education,19.8692,,United Nations Educational
8,Albania,2011,Teachers at secondary level (thousands),23.298,,United Nations Educational
8,Albania,2011,Pupil-teacher ratio in secondary education,15.2441,,United Nations Educational
8,Albania,2011,Teachers at tertiary level (thousands),9.78,,United Nations Educational
8,Albania,2011,Pupil-teacher ratio in tertiary education,13.7911,,United Nations Educational
8,Albania,2015,Teachers at primary level (thousands),10.119,,United Nations Educational
8,Albania,2015,Pupil-teacher ratio in primary education,18.6156,,United Nations Educational
8,Albania,2015,Teachers at secondary level (thousands),23.329,,United Nations Educational
8,Albania,2015,Pupil-teacher ratio in secondary education,13.5059,,United Nations Educational
8,Albania,2018,Teachers at primary level (thousands),9.723,,United Nations Educational
8,Albania,2018,Pupil-teacher ratio in primary education,17.5729,,United Nations Educational
8,Albania,2018,Teachers at secondary level (thousands),24.008,,United Nations Educational
8,Albania,2018,Pupil-teacher ratio in secondary education,11.1993,,United Nations Educational
8,Albania,2018,Teachers at tertiary level (thousands),9.373,,United Nations Educational
8,Albania,2018,Pupil-teacher ratio in tertiary education,14.0652,,United Nations Educational
12,Algeria,2005,Teachers at primary level (thousands),171.471,,United Nations Educational
12,Algeria,2005,Pupil-teacher ratio in primary education,25.4372,,United Nations Educational
12,Algeria,2005,Teachers at tertiary level (thousands),28.371,,United Nations Educational
12,Algeria,2005,Pupil-teacher ratio in tertiary education,27.9201,,United Nations Educational
12,Algeria,2010,Teachers at primary level (thousands),141.994,,United Nations Educational
12,Algeria,2010,Pupil-teacher ratio in primary education,23.328,,United Nations Educational
12,Algeria,2010,Teachers at tertiary level (thousands),39.782,,United Nations Educational
12,Algeria,2010,Pupil-teacher ratio in tertiary education,28.7635,,United Nations Educational
12,Algeria,2015,Teachers at primary level (thousands),164.684,,United Nations Educational
12,Algeria,2015,Pupil-teacher ratio in primary education,23.8361,,United Nations Educational
12,Algeria,2015,Teachers at tertiary level (thousands),53.622,,United Nations Educational
12,Algeria,2015,Pupil-teacher ratio in tertiary education,24.0475,,United Nations Educational
12,Algeria,2018,Teachers at primary level (thousands),182.153,,United Nations Educational
12,Algeria,2018,Pupil-teacher ratio in primary education,24.3202,,United Nations Educational
12,Algeria,2018,Teachers at tertiary level (thousands),58.647,,United Nations Educational
12,Algeria,2018,Pupil-teacher ratio in tertiary education,27.2934,,United Nations Educational
16,American Samoa,2007,Teachers at tertiary level (thousands),0.105,,United Nations Educational
16,American Samoa,2007,Pupil-teacher ratio in tertiary education,15.3048,,United Nations Educational
20,Andorra,2004,Teachers at primary level (thousands),0.337,,United Nations Educational
20,Andorra,2004,Pupil-teacher ratio in primary education,12.6528,,United Nations Educational
20,Andorra,2004,Teachers at secondary level (thousands),0.46,,United Nations Educational
20,Andorra,2004,Pupil-teacher ratio in secondary education,7.0652,,United Nations Educational
20,Andorra,2004,Teachers at tertiary level (thousands),0.084,,United Nations Educational
20,Andorra,2004,Pupil-teacher ratio in tertiary education,3.9405,,United Nations Educational
20,Andorra,2005,Teachers at primary level (thousands),0.356,,United Nations Educational
20,Andorra,2005,Pupil-teacher ratio in primary education,11.4747,,United Nations Educational
20,Andorra,2005,Teachers at secondary level (thousands),0.482,,United Nations Educational
