T08,Public expenditure on education (new),,,,
20,Andorra,2013,Capital expenditure as % of total expenditure in public institutions (%),0.5823,
20,Andorra,2013,Expenditure by level of education: pre-primary (as % of government expenditure),18.2028,
20,Andorra,2013,Expenditure by level of education: primary (as % of government expenditure),32.1438,
20,Andorra,2013,Expenditure by level of education: secondary (as % of government expenditure),35.2473,
20,Andorra,2013,Expenditure by level of education: tertiary (as % of government expenditure),4.5889,
20,Andorra,2013,Public expenditure on education (% of GDP),2.4381,
20,Andorra,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.5524,
20,Andorra,2015,Capital expenditure as % of total expenditure in public institutions (%),1.3344,
20,Andorra,2015,Expenditure by level of education: pre-primary (as % of government expenditure),13.1793,
20,Andorra,2015,Expenditure by level of education: primary (as % of government expenditure),22.0757,
20,Andorra,2015,Expenditure by level of education: secondary (as % of government expenditure),24.9135,
20,Andorra,2015,Expenditure by level of education: tertiary (as % of government expenditure),5.4748,
20,Andorra,2015,Government expenditure on education (% of government expenditure),19.4891,
20,Andorra,2015,Public expenditure on education (% of GDP),3.2537,
20,Andorra,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.8145,
20,Andorra,2018,All staff compensation as % of total expenditure in public institutions (%),35.6449,
20,Andorra,2018,Capital expenditure as % of total expenditure in public institutions (%),0.5406,
20,Andorra,2018,Expenditure by level of education: pre-primary (as % of government expenditure),11.886,
20,Andorra,2018,Expenditure by level of education: primary (as % of government expenditure),21.4204,
20,Andorra,2018,Expenditure by level of education: secondary (as % of government expenditure),25.3068,
20,Andorra,2018,Expenditure by level of education: tertiary (as % of government expenditure),5.6411,
20,Andorra,2018,Government expenditure on education (% of government expenditure),19.3231,
20,Andorra,2018,Public expenditure on education (% of GDP),3.2269,
24,Angola,2005,Expenditure by level of education: primary (as % of government expenditure),36.4988,
24,Angola,2005,Expenditure by level of education: secondary (as % of government expenditure),55.2176,
24,Angola,2005,Expenditure by level of education: tertiary (as % of government expenditure),8.2836,
24,Angola,2005,Government expenditure on education (% of government expenditure),7.9924,
24,Angola,2005,Public expenditure on education (% of GDP),2.1201,
24,Angola,2006,Capital expenditure as % of total expenditure in public institutions (%),24.3496,
24,Angola,2006,Expenditure by level of education: pre-primary (as % of government expenditure),13.5355,
24,Angola,2006,Expenditure by level of education: primary (as % of government expenditure),31.4335,
24,Angola,2006,Expenditure by level of education: secondary (as % of government expenditure),42.4243,
24,Angola,2006,Expenditure by level of education: tertiary (as % of government expenditure),8.7012,
24,Angola,2006,Government expenditure on education (% of government expenditure),7.4548,
24,Angola,2006,Public expenditure on education (% of GDP),2.2815,
24,Angola,2010,Government expenditure on education (% of government expenditure),8.6848,
24,Angola,2010,Public expenditure on education (% of GDP),3.4213,
660,Anguilla,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.7393,
660,Anguilla,2005,All staff compensation as % of total expenditure in public institutions (%),80.8978,
660,Anguilla,2005,Expenditure by level of education: pre-primary (as % of government expenditure),1.9369,
660,Anguilla,2005,Expenditure by level of education: primary (as % of government expenditure),28.5042,
660,Anguilla,2005,Expenditure by level of education: secondary (as % of government expenditure),51.2568,
660,Anguilla,2005,Expenditure by level of education: tertiary (as % of government expenditure),18.3021,
660,Anguilla,2005,Public expenditure on education (% of GDP),2.9545,
660,Anguilla,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8199,Estimate.
660,Anguilla,2008,All staff compensation as % of total expenditure in public institutions (%),69.3658,Estimate.
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.8143,Estimate.
660,Anguilla,2008,Expenditure by level of education: pre-primary (as % of government expenditure),1.6106,
660,Anguilla,2008,Expenditure by level of education: primary (as % of government expenditure),39.4499,
660,Anguilla,2008,Expenditure by level of education: secondary (as % of government expenditure),56.0897,
660,Anguilla,2008,Expenditure by level of education: tertiary (as % of government expenditure),2.8498,
660,Anguilla,2008,Public expenditure on education (% of GDP),2.8426,
28,Antigua and Barbuda,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.6809,
28,Antigua and Barbuda,2002,Capital expenditure as % of total expenditure in public institutions (%),3.8509,
28,Antigua and Barbuda,2002,Expenditure by level of education: pre-primary (as % of government expenditure),2.1061,
28,Antigua and Barbuda,2002,Expenditure by level of education: primary (as % of government expenditure),28.5517,
28,Antigua and Barbuda,2002,Expenditure by level of education: secondary (as % of government expenditure),35.1522,
28,Antigua and Barbuda,2002,Expenditure by level of education: tertiary (as % of government expenditure),6.7188,
28,Antigua and Barbuda,2002,Government expenditure on education (% of government expenditure),11.7015,
28,Antigua and Barbuda,2002,Public expenditure on education (% of GDP),3.3943,
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.629,
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.2148,
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.1562,
28,Antigua and Barbuda,2009,Expenditure by level of education: pre-primary (as % of government expenditure),0.2619,
28,Antigua and Barbuda,2009,Expenditure by level of education: primary (as % of government expenditure),41.6132,
28,Antigua and Barbuda,2009,Expenditure by level of education: secondary (as % of government expenditure),48.3925,
28,Antigua and Barbuda,2009,Expenditure by level of education: tertiary (as % of government expenditure),7.3531,
28,Antigua and Barbuda,2009,Government expenditure on education (% of government expenditure),6.9281,
28,Antigua and Barbuda,2009,Public expenditure on education (% of GDP),2.5172,
32,Argentina,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.5804,
32,Argentina,2004,All staff compensation as % of total expenditure in public institutions (%),87.5775,
32,Argentina,2004,Capital expenditure as % of total expenditure in public institutions (%),0.8422,
32,Argentina,2004,Expenditure by level of education: pre-primary (as % of government expenditure),8.3006,
32,Argentina,2004,Expenditure by level of education: primary (as % of government expenditure),36.6955,
32,Argentina,2004,Expenditure by level of education: secondary (as % of government expenditure),37.7991,
32,Argentina,2004,Expenditure by level of education: tertiary (as % of government expenditure),17.2048,
32,Argentina,2004,Government expenditure on education (% of government expenditure),15.1393,
32,Argentina,2004,Public expenditure on education (% of GDP),3.4865,
32,Argentina,2005,Expenditure by level of education: pre-primary (as % of government expenditure),7.8752,
32,Argentina,2005,Expenditure by level of education: primary (as % of government expenditure),34.1957,
32,Argentina,2005,Expenditure by level of education: secondary (as % of government expenditure),41.6871,
32,Argentina,2005,Expenditure by level of education: tertiary (as % of government expenditure),16.242,
32,Argentina,2005,Government expenditure on education (% of government expenditure),15.8032,
32,Argentina,2005,Public expenditure on education (% of GDP),3.86,
32,Argentina,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9087,
32,Argentina,2010,All staff compensation as % of total expenditure in public institutions (%),85.8718,
32,Argentina,2010,Capital expenditure as % of total expenditure in public institutions (%),4.2195,
32,Argentina,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.437,
32,Argentina,2010,Expenditure by level of education: primary (as % of government expenditure),33.0549,
32,Argentina,2010,Expenditure by level of education: secondary (as % of government expenditure),39.65,
32,Argentina,2010,Expenditure by level of education: tertiary (as % of government expenditure),19.8581,
32,Argentina,2010,Government expenditure on education (% of government expenditure),15.048,
32,Argentina,2010,Public expenditure on education (% of GDP),5.0197,
32,Argentina,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.2126,
32,Argentina,2015,All staff compensation as % of total expenditure in public institutions (%),82.0145,
32,Argentina,2015,Capital expenditure as % of total expenditure in public institutions (%),10.7729,
32,Argentina,2015,Expenditure by level of education: pre-primary (as % of government expenditure),8.0902,
32,Argentina,2015,Expenditure by level of education: primary (as % of government expenditure),30.0413,
32,Argentina,2015,Expenditure by level of education: secondary (as % of government expenditure),41.3327,
32,Argentina,2015,Expenditure by level of education: tertiary (as % of government expenditure),20.5357,
32,Argentina,2015,Government expenditure on education (% of government expenditure),13.9633,
32,Argentina,2015,Public expenditure on education (% of GDP),5.7761,
32,Argentina,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.9513,
32,Argentina,2017,All staff compensation as % of total expenditure in public institutions (%),82.1425,
32,Argentina,2017,Capital expenditure as % of total expenditure in public institutions (%),10.9062,
32,Argentina,2017,Expenditure by level of education: pre-primary (as % of government expenditure),8.7857,
32,Argentina,2017,Expenditure by level of education: primary (as % of government expenditure),29.5946,
32,Argentina,2017,Expenditure by level of education: secondary (as % of government expenditure),39.5394,
32,Argentina,2017,Expenditure by level of education: tertiary (as % of government expenditure),22.0803,
32,Argentina,2017,Government expenditure on education (% of government expenditure),13.2639,
32,Argentina,2017,Public expenditure on education (% of GDP),5.4622,
51,Armenia,2005,Government expenditure on education (% of government expenditure),13.6481,
51,Armenia,2005,Public expenditure on education (% of GDP),2.712,
51,Armenia,2009,Expenditure by level of education: pre-primary (as % of government expenditure),11.3053,
51,Armenia,2009,Expenditure by level of education: tertiary (as % of government expenditure),9.3612,
51,Armenia,2009,Government expenditure on education (% of government expenditure),13.4512,
51,Armenia,2009,Public expenditure on education (% of GDP),3.8408,
51,Armenia,2010,Expenditure by level of education: tertiary (as % of government expenditure),11.654,
51,Armenia,2010,Government expenditure on education (% of government expenditure),12.4005,
51,Armenia,2010,Public expenditure on education (% of GDP),3.249,
51,Armenia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.4561,
51,Armenia,2014,All staff compensation as % of total expenditure in public institutions (%),65.5122,
51,Armenia,2014,Capital expenditure as % of total expenditure in public institutions (%),26.0317,
51,Armenia,2014,Expenditure by level of education: secondary (as % of government expenditure),54.462,
51,Armenia,2014,Expenditure by level of education: tertiary (as % of government expenditure),13.6226,
51,Armenia,2014,Government expenditure on education (% of government expenditure),9.3671,
51,Armenia,2014,Public expenditure on education (% of GDP),2.2472,
51,Armenia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.618,
51,Armenia,2015,All staff compensation as % of total expenditure in public institutions (%),88.4546,
51,Armenia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),11.7612,
51,Armenia,2015,Expenditure by level of education: primary (as % of government expenditure),19.3593,
51,Armenia,2015,Expenditure by level of education: tertiary (as % of government expenditure),12.689,
51,Armenia,2015,Government expenditure on education (% of government expenditure),10.6564,
51,Armenia,2015,Public expenditure on education (% of GDP),2.8059,
51,Armenia,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.6253,
51,Armenia,2017,All staff compensation as % of total expenditure in public institutions (%),72.9634,
51,Armenia,2017,Capital expenditure as % of total expenditure in public institutions (%),12.4113,
51,Armenia,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.9971,
51,Armenia,2017,Expenditure by level of education: primary (as % of government expenditure),19.3735,
51,Armenia,2017,Expenditure by level of education: secondary (as % of government expenditure),46.8732,
51,Armenia,2017,Expenditure by level of education: tertiary (as % of government expenditure),12.9924,
51,Armenia,2017,Government expenditure on education (% of government expenditure),10.4031,
51,Armenia,2017,Public expenditure on education (% of GDP),2.7076,
533,Aruba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.1214,
533,Aruba,2005,All staff compensation as % of total expenditure in public institutions (%),90.6725,
533,Aruba,2005,Capital expenditure as % of total expenditure in public institutions (%),3.2061,
533,Aruba,2005,Expenditure by level of education: pre-primary (as % of government expenditure),6.7904,
533,Aruba,2005,Expenditure by level of education: primary (as % of government expenditure),26.7322,
533,Aruba,2005,Expenditure by level of education: secondary (as % of government expenditure),26.7684,
533,Aruba,2005,Expenditure by level of education: tertiary (as % of government expenditure),11.4853,
533,Aruba,2005,Government expenditure on education (% of government expenditure),18.9007,
533,Aruba,2005,Public expenditure on education (% of GDP),4.6813,
533,Aruba,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),5.7362,
533,Aruba,2009,All staff compensation as % of total expenditure in public institutions (%),87.0319,
533,Aruba,2009,Government expenditure on education (% of government expenditure),21.5373,
533,Aruba,2009,Public expenditure on education (% of GDP),5.9248,
533,Aruba,2010,Government expenditure on education (% of government expenditure),22.1437,
533,Aruba,2010,Public expenditure on education (% of GDP),6.9293,
533,Aruba,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.9088,
533,Aruba,2015,All staff compensation as % of total expenditure in public institutions (%),93.0912,
533,Aruba,2015,Expenditure by level of education: pre-primary (as % of government expenditure),5.1561,
533,Aruba,2015,Expenditure by level of education: primary (as % of government expenditure),23.8411,
533,Aruba,2015,Expenditure by level of education: secondary (as % of government expenditure),30.6769,
533,Aruba,2015,Expenditure by level of education: tertiary (as % of government expenditure),25.0983,
533,Aruba,2015,Government expenditure on education (% of government expenditure),22.855,
533,Aruba,2015,Public expenditure on education (% of GDP),6.4818,
533,Aruba,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.9513,
533,Aruba,2016,All staff compensation as % of total expenditure in public institutions (%),93.0487,
533,Aruba,2016,Expenditure by level of education: pre-primary (as % of government expenditure),5.6924,
533,Aruba,2016,Expenditure by level of education: primary (as % of government expenditure),27.5259,
533,Aruba,2016,Expenditure by level of education: secondary (as % of government expenditure),33.2456,
533,Aruba,2016,Expenditure by level of education: tertiary (as % of government expenditure),18.3915,
533,Aruba,2016,Government expenditure on education (% of government expenditure),21.3666,
533,Aruba,2016,Public expenditure on education (% of GDP),6.1899,
36,Australia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.6669,
36,Australia,2000,All staff compensation as % of total expenditure in public institutions (%),68.3224,
36,Australia,2000,Capital expenditure as % of total expenditure in public institutions (%),7.0108,
36,Australia,2000,Expenditure by level of education: pre-primary (as % of government expenditure),1.2368,
36,Australia,2000,Expenditure by level of education: primary (as % of government expenditure),34.0679,
36,Australia,2000,Expenditure by level of education: secondary (as % of government expenditure),38.5898,
36,Australia,2000,Expenditure by level of education: tertiary (as % of government expenditure),23.4199,
36,Australia,2000,Government expenditure on education (% of government expenditure),13.3602,
36,Australia,2000,Public expenditure on education (% of GDP),4.8915,
36,Australia,2005,Expenditure by level of education: pre-primary (as % of government expenditure),1.0355,
36,Australia,2005,Expenditure by level of education: primary (as % of government expenditure),34.6246,
36,Australia,2005,Expenditure by level of education: secondary (as % of government expenditure),39.7121,
36,Australia,2005,Expenditure by level of education: tertiary (as % of government expenditure),22.195,
36,Australia,2005,Government expenditure on education (% of government expenditure),13.5851,
36,Australia,2005,Public expenditure on education (% of GDP),4.9103,
36,Australia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),1.1666,
36,Australia,2010,Expenditure by level of education: primary (as % of government expenditure),36.807,
36,Australia,2010,Expenditure by level of education: secondary (as % of government expenditure),36.7889,
36,Australia,2010,Expenditure by level of education: tertiary (as % of government expenditure),22.2766,
36,Australia,2010,Government expenditure on education (% of government expenditure),14.324,
36,Australia,2010,Public expenditure on education (% of GDP),5.5501,
36,Australia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.1111,
36,Australia,2015,All staff compensation as % of total expenditure in public institutions (%),65.2272,
36,Australia,2015,Capital expenditure as % of total expenditure in public institutions (%),7.6617,
36,Australia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),3.2599,
36,Australia,2015,Expenditure by level of education: primary (as % of government expenditure),31.7843,
36,Australia,2015,Expenditure by level of education: secondary (as % of government expenditure),30.5254,
36,Australia,2015,Expenditure by level of education: tertiary (as % of government expenditure),28.8554,
36,Australia,2015,Government expenditure on education (% of government expenditure),14.0797,
36,Australia,2015,Public expenditure on education (% of GDP),5.312,
36,Australia,2016,Expenditure by level of education: pre-primary (as % of government expenditure),4.4049,
36,Australia,2016,Expenditure by level of education: primary (as % of government expenditure),32.9911,
36,Australia,2016,Expenditure by level of education: secondary (as % of government expenditure),31.2763,
36,Australia,2016,Expenditure by level of education: tertiary (as % of government expenditure),26.8246,
36,Australia,2016,Government expenditure on education (% of government expenditure),13.7711,
36,Australia,2016,Public expenditure on education (% of GDP),5.2716,
40,Austria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.1892,
40,Austria,2005,All staff compensation as % of total expenditure in public institutions (%),72.0859,
40,Austria,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7249,
40,Austria,2005,Expenditure by level of education: pre-primary (as % of government expenditure),7.4168,
40,Austria,2005,Expenditure by level of education: primary (as % of government expenditure),18.9953,
40,Austria,2005,Expenditure by level of education: secondary (as % of government expenditure),45.9373,
40,Austria,2005,Expenditure by level of education: tertiary (as % of government expenditure),27.2828,
40,Austria,2005,Government expenditure on education (% of government expenditure),10.2619,
40,Austria,2005,Public expenditure on education (% of GDP),5.2494,
40,Austria,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.8899,
40,Austria,2010,All staff compensation as % of total expenditure in public institutions (%),70.1928,
40,Austria,2010,Capital expenditure as % of total expenditure in public institutions (%),4.9173,
40,Austria,2010,Expenditure by level of education: pre-primary (as % of government expenditure),10.3278,
40,Austria,2010,Expenditure by level of education: primary (as % of government expenditure),17.1328,
40,Austria,2010,Expenditure by level of education: secondary (as % of government expenditure),44.3599,
40,Austria,2010,Expenditure by level of education: tertiary (as % of government expenditure),27.7145,
40,Austria,2010,Government expenditure on education (% of government expenditure),10.7891,
40,Austria,2010,Public expenditure on education (% of GDP),5.7005,
40,Austria,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.2292,
40,Austria,2015,All staff compensation as % of total expenditure in public institutions (%),68.2811,
40,Austria,2015,Capital expenditure as % of total expenditure in public institutions (%),5.4898,
40,Austria,2015,Expenditure by level of education: pre-primary (as % of government expenditure),8.8148,
40,Austria,2015,Expenditure by level of education: primary (as % of government expenditure),16.5679,
40,Austria,2015,Expenditure by level of education: secondary (as % of government expenditure),39.8774,
40,Austria,2015,Expenditure by level of education: tertiary (as % of government expenditure),32.6336,
40,Austria,2015,Government expenditure on education (% of government expenditure),10.6935,
40,Austria,2015,Public expenditure on education (% of GDP),5.4568,
40,Austria,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.1902,
40,Austria,2016,All staff compensation as % of total expenditure in public institutions (%),67.5636,
40,Austria,2016,Capital expenditure as % of total expenditure in public institutions (%),6.2462,
40,Austria,2016,Expenditure by level of education: pre-primary (as % of government expenditure),9.0959,
40,Austria,2016,Expenditure by level of education: primary (as % of government expenditure),16.6002,
40,Austria,2016,Expenditure by level of education: secondary (as % of government expenditure),39.6284,
40,Austria,2016,Expenditure by level of education: tertiary (as % of government expenditure),32.4887,
40,Austria,2016,Government expenditure on education (% of government expenditure),10.9539,
40,Austria,2016,Public expenditure on education (% of GDP),5.5007,
31,Azerbaijan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.5684,
31,Azerbaijan,2005,All staff compensation as % of total expenditure in public institutions (%),66.7913,
31,Azerbaijan,2005,Capital expenditure as % of total expenditure in public institutions (%),1.6403,
31,Azerbaijan,2005,Expenditure by level of education: pre-primary (as % of government expenditure),6.8592,
31,Azerbaijan,2005,Expenditure by level of education: tertiary (as % of government expenditure),6.9457,
31,Azerbaijan,2005,Government expenditure on education (% of government expenditure),13.2232,
31,Azerbaijan,2005,Public expenditure on education (% of GDP),2.9746,
31,Azerbaijan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.6161,
31,Azerbaijan,2010,All staff compensation as % of total expenditure in public institutions (%),64.8473,
31,Azerbaijan,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5366,
31,Azerbaijan,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.0514,
31,Azerbaijan,2010,Expenditure by level of education: tertiary (as % of government expenditure),14.0389,
31,Azerbaijan,2010,Government expenditure on education (% of government expenditure),8.7008,
31,Azerbaijan,2010,Public expenditure on education (% of GDP),2.7806,
31,Azerbaijan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.8507,
31,Azerbaijan,2015,All staff compensation as % of total expenditure in public institutions (%),51.9659,
31,Azerbaijan,2015,Capital expenditure as % of total expenditure in public institutions (%),2.1834,
31,Azerbaijan,2015,Expenditure by level of education: pre-primary (as % of government expenditure),9.4829,
31,Azerbaijan,2015,Expenditure by level of education: tertiary (as % of government expenditure),12.8161,
31,Azerbaijan,2015,Government expenditure on education (% of government expenditure),7.6311,
31,Azerbaijan,2015,Public expenditure on education (% of GDP),2.9517,
31,Azerbaijan,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),39.5288,
31,Azerbaijan,2017,All staff compensation as % of total expenditure in public institutions (%),59.1763,
31,Azerbaijan,2017,Capital expenditure as % of total expenditure in public institutions (%),1.2949,
31,Azerbaijan,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.2922,
31,Azerbaijan,2017,Expenditure by level of education: tertiary (as % of government expenditure),16.4022,
31,Azerbaijan,2017,Government expenditure on education (% of government expenditure),6.9504,
31,Azerbaijan,2017,Public expenditure on education (% of GDP),2.4738,
44,Bahamas,2000,Government expenditure on education (% of government expenditure),18.9228,Estimate.
44,Bahamas,2000,Public expenditure on education (% of GDP),2.2328,Estimate.
48,Bahrain,2008,Government expenditure on education (% of government expenditure),10.5587,
48,Bahrain,2008,Public expenditure on education (% of GDP),2.4968,
48,Bahrain,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.8305,
48,Bahrain,2012,All staff compensation as % of total expenditure in public institutions (%),82.3205,
48,Bahrain,2012,Capital expenditure as % of total expenditure in public institutions (%),3.849,
48,Bahrain,2012,Government expenditure on education (% of government expenditure),8.2885,
48,Bahrain,2012,Public expenditure on education (% of GDP),2.6453,
48,Bahrain,2013,Expenditure by level of education: primary (as % of government expenditure),32.0718,
48,Bahrain,2013,Expenditure by level of education: secondary (as % of government expenditure),43.4031,
48,Bahrain,2013,Expenditure by level of education: tertiary (as % of government expenditure),24.4047,
48,Bahrain,2013,Government expenditure on education (% of government expenditure),7.2153,
48,Bahrain,2013,Public expenditure on education (% of GDP),2.4769,
48,Bahrain,2015,Expenditure by level of education: primary (as % of government expenditure),32.9869,
48,Bahrain,2015,Expenditure by level of education: secondary (as % of government expenditure),44.2246,
48,Bahrain,2015,Government expenditure on education (% of government expenditure),7.2974,
48,Bahrain,2015,Public expenditure on education (% of GDP),2.6681,
48,Bahrain,2017,Government expenditure on education (% of government expenditure),7.1804,
48,Bahrain,2017,Public expenditure on education (% of GDP),2.3272,
50,Bangladesh,2004,Expenditure by level of education: primary (as % of government expenditure),39.9873,
50,Bangladesh,2004,Expenditure by level of education: secondary (as % of government expenditure),48.4707,
50,Bangladesh,2004,Expenditure by level of education: tertiary (as % of government expenditure),11.5421,
50,Bangladesh,2004,Government expenditure on education (% of government expenditure),15.9531,
50,Bangladesh,2004,Public expenditure on education (% of GDP),1.9401,
50,Bangladesh,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2008,
50,Bangladesh,2009,All staff compensation as % of total expenditure in public institutions (%),59.7806,
50,Bangladesh,2009,Capital expenditure as % of total expenditure in public institutions (%),19.0186,
